DWG Number,ASIGateway_label,Tag,Description,Signal Type 1,ASiAddress,ASIGateway_label_order,moduleConfig,moduleId
PID-143,1,20-ZIS-4101J,Pig Sensor,DIASI,1A,22,"[2, 1]",0
PID-143,1,20-ZIS-4101K,Pig Sensor,DIASI,1A,23,"[2, 1]",0
PID-143,1,20-XY-4101E,3-Way Solenoid Valve,DOASI,1B,4,"[2, 2]",1
PID-143,1,20-XY-2101F?,3-Way Solenoid Valve,DOASI,1B,13,"[2, 2]",1
PID-143,1,20-ZSC/O-4101E,Closed and Open Detection,DIASI,1B,17,"[2, 2]",1
PID-143,1,20-ZSC/O-4101F,Closed and Open Detection,DIASI,1B,18,"[2, 2]",1
PID-143,1,20-XY-4101C,3-Way Solenoid Valve,DOASI,2B,1,"[4, 4]",2
PID-143,1,20-ZSC-4101A,Closed Detection,DIASI,2B,2,"[4, 4]",2
PID-143,1,20-XY-4101B,3-Way Solenoid Valve,DOASI,2B,6,"[4, 4]",2
PID-143,1,20-ZSC-4101C,Closed Detection,DIASI,2B,8,"[4, 4]",2
PID-143,1,20-ZSC-4101D,Closed Detection,DIASI,2B,10,"[4, 4]",2
PID-143,1,20-XY-4101A,3-Way Solenoid Valve,DOASI,2B,15,"[4, 4]",2
PID-143,1,20-ZSC-4101B,Closed Detection,DIASI,2B,24,"[4, 4]",2
PID-143,1,20-XY-4101D,3-Way Solenoid Valve,DOASI,2B,25,"[4, 4]",2
PID-143,1,20-ZIS-4102K,Pig Sensor,DIASI,3B,3,"[4, 0]",3
PID-143,1,20-ZIS-4102J,Pig Sensor,DIASI,3B,11,"[4, 0]",3
PID-143,1,20-ZSO-4102H,Open Detection,DIASI,3B,20,"[4, 0]",3
PID-143,1,20-XY-4102E,3-Way Solenoid Valve,DOASI,4B,5,"[4, 4]",4
PID-143,1,20-ZSC/O-4102E,Closed and Open Detection,DIASI,4B,7,"[4, 4]",4
PID-143,1,20-ZSC/O-4102F,Closed and Open Detection,DIASI,4B,9,"[4, 4]",4
PID-143,1,20-XY-4102F,3-Way Solenoid Valve,DOASI,4B,12,"[4, 4]",4
PID-143,1,20-XY-4102P,4-Way Solenoid Valve,DOASI,4B,14,"[4, 4]",4
PID-143,1,20-ZSC-4102G,Closed Detection,DIASI,4B,16,"[4, 4]",4
PID-143,1,20-XY-4102A,3-Way Solenoid Valve,DOASI,4B,21,"[4, 4]",4
PID-143,1,20-ZSC-4102A,Closed Detection,DIASI,4B,26,"[4, 4]",4
PID-142,1,20-ZIS-4103K,Pig Sensor,DIASI,5B,63,"[4, 0]",5
PID-142,1,20-ZSO-4103H,Open Detection,DIASI,5B,78,"[4, 0]",5
PID-142,1,20-ZIS-4103J,Pig Sensor,DIASI,5B,93,"[4, 0]",5
PID-142,1,20-XY-4103E,3-Way Solenoid Valve,DOASI,6B,76,"[4, 4]",6
PID-142,1,20-XY-4103A,3-Way Solenoid Valve,DOASI,6B,80,"[4, 4]",6
PID-142,1,20-ZSC-4103A,Closed Detection,DIASI,6B,82,"[4, 4]",6
PID-142,1,20-XY-4103P,4-Way Solenoid Valve,DOASI,6B,84,"[4, 4]",6
PID-142,1,20-ZSC/O-4103E,Closed and Open Detection,DIASI,6B,85,"[4, 4]",6
PID-142,1,20-XY-4103F,3-Way Solenoid Valve,DOASI,6B,86,"[4, 4]",6
PID-142,1,20-ZSC/O-4103F,Closed and Open Detection,DIASI,6B,89,"[4, 4]",6
PID-142,1,20-ZSC-4103G,Closed Detection,DIASI,6B,90,"[4, 4]",6
PID-142,1,20-ZIS-4104K,Pig Sensor,DIASI,7B,73,"[4, 0]",7
PID-142,1,20-ZIS-4104J,Pig Sensor,DIASI,7B,79,"[4, 0]",7
PID-142,1,20-ZSO-4104H,Open Detection,DIASI,7B,87,"[4, 0]",7
PID-142,1,20-XY-4104E,3-Way Solenoid Valve,DOASI,8B,65,"[4, 4]",8
PID-142,1,20-ZSC-4104G,Closed Detection,DIASI,8B,66,"[4, 4]",8
PID-142,1,20-ZSC/O-4104F,Closed and Open Detection,DIASI,8B,68,"[4, 4]",8
PID-142,1,20-XY-4104F,3-Way Solenoid Valve,DOASI,8B,71,"[4, 4]",8
PID-142,1,20-XY-4104P,4-Way Solenoid Valve,DOASI,8B,74,"[4, 4]",8
PID-142,1,20-ZSC-4104A,Closed Detection,DIASI,8B,75,"[4, 4]",8
PID-142,1,20-XY-4104A,3-Way Solenoid Valve,DOASI,8B,77,"[4, 4]",8
PID-142,1,20-ZSC/O-4104E,Closed and Open Detection,DIASI,8B,92,"[4, 4]",8
PID-142,1,20-ZSO-4105H,Open Detection,DIASI,9B,64,"[4, 0]",9
PID-142,1,20-ZIS-4105J,Pig Sensor,DIASI,9B,67,"[4, 0]",9
PID-142,1,20-ZIS-4105K,Pig Sensor,DIASI,9B,91,"[4, 0]",9
PID-142,1,20-ZSC/O-4105F,Closed and Open Detection,DIASI,10B,62,"[4, 4]",10
PID-142,1,20-ZSC/O-4105E,Closed and Open Detection,DIASI,10B,69,"[4, 4]",10
PID-142,1,20-ZSC-4105G,Closed Detection,DIASI,10B,70,"[4, 4]",10
PID-142,1,20-XY-4105E,3-Way Solenoid Valve,DOASI,10B,72,"[4, 4]",10
PID-142,1,20-XY-4105P,4-Way Solenoid Valve,DOASI,10B,81,"[4, 4]",10
PID-142,1,20-XY-4105A,3-Way Solenoid Valve,DOASI,10B,83,"[4, 4]",10
PID-142,1,20-XY-4105F,3-Way Solenoid Valve,DOASI,10B,88,"[4, 4]",10
PID-142,1,20-ZSC-4105A,Closed Detection,DIASI,10B,94,"[4, 4]",10
PID-141,1,20-ZIS-4106J,Pig Sensor,DIASI,11B,46,"[4, 0]",11
PID-141,1,20-ZSO-4106H,Open Detection,DIASI,11B,47,"[4, 0]",11
PID-141,1,20-ZIS-4106K,Pig Sensor,DIASI,11B,57,"[4, 0]",11
PID-141,1,20-ZSC/O-4106F,Closed and Open Detection,DIASI,12B,29,"[4, 4]",12
PID-141,1,20-XY-4106A,3-Way Solenoid Valve,DOASI,12B,38,"[4, 4]",12
PID-141,1,20-ZSC-4106G,Closed Detection,DIASI,12B,41,"[4, 4]",12
PID-141,1,20-XY-4106F,3-Way Solenoid Valve,DOASI,12B,48,"[4, 4]",12
PID-141,1,20-ZSC/O-4106E,Closed and Open Detection,DIASI,12B,49,"[4, 4]",12
PID-141,1,20-ZSC-4106A,Closed Detection,DIASI,12B,50,"[4, 4]",12
PID-141,1,20-XY-4106E,3-Way Solenoid Valve,DOASI,12B,51,"[4, 4]",12
PID-141,1,20-XY-4106P,4-Way Solenoid Valve,DOASI,12B,61,"[4, 4]",12
PID-141,1,20-ZSO-4107H,Open Detection,DIASI,13B,34,"[4, 0]",13
PID-141,1,20-ZIS-4107K,Pig Sensor,DIASI,13B,53,"[4, 0]",13
PID-141,1,20-ZIS-4107J,Pig Sensor,DIASI,13B,54,"[4, 0]",13
PID-141,1,20-XY-4107A,3-Way Solenoid Valve,DOASI,14B,32,"[4, 4]",14
PID-141,1,20-ZSC/O-4107E,Closed and Open Detection,DIASI,14B,33,"[4, 4]",14
PID-141,1,20-XY-4107P,4-Way Solenoid Valve,DOASI,14B,36,"[4, 4]",14
PID-141,1,20-ZSC-4107G,Closed Detection,DIASI,14B,39,"[4, 4]",14
PID-141,1,20-XY-4107E,3-Way Solenoid Valve,DOASI,14B,42,"[4, 4]",14
PID-141,1,20-ZSC/O-4107F,Closed and Open Detection,DIASI,14B,43,"[4, 4]",14
PID-141,1,20-ZSC-4107A,Closed Detection,DIASI,14B,52,"[4, 4]",14
PID-141,1,20-XY-4107F,3-Way Solenoid Valve,DOASI,14B,60,"[4, 4]",14
PID-141,1,20-ZSO-4108H,Open Detection,DIASI,15B,30,"[4, 0]",15
PID-141,1,20-ZIS-4108J,Pig Sensor,DIASI,15B,45,"[4, 0]",15
PID-141,1,20-ZIS-4108K,Pig Sensor,DIASI,15B,55,"[4, 0]",15
